"id";"status";"locale";"group";"key";"value";"created_at";"updated_at"
"1";"1";"en";"auth";"failed";"These credentials do not match our records.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"2";"1";"en";"auth";"password";"The provided password is incorrect.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"3";"1";"en";"auth";"throttle";"Too many login attempts. Please try again in :seconds seconds.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"4";"1";"en";"pagination";"previous";"&laquo; Previous";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"5";"1";"en";"pagination";"next";"Next &raquo;";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"6";"1";"en";"passwords";"reset";"Your password has been reset!";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"7";"1";"en";"passwords";"sent";"We have emailed your password reset link!";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"8";"1";"en";"passwords";"throttled";"Please wait before retrying.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"9";"1";"en";"passwords";"token";"This password reset token is invalid.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"10";"1";"en";"passwords";"user";"We can't find a user with that email address.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"11";"1";"en";"validation";"accepted";"The :attribute must be accepted.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"12";"1";"en";"validation";"accepted_if";"The :attribute must be accepted when :other is :value.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"13";"1";"en";"validation";"active_url";"The :attribute is not a valid URL.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"14";"1";"en";"validation";"after";"The :attribute must be a date after :date.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"15";"1";"en";"validation";"after_or_equal";"The :attribute must be a date after or equal to :date.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"16";"1";"en";"validation";"alpha";"The :attribute must only contain letters.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"17";"1";"en";"validation";"alpha_dash";"The :attribute must only contain letters, numbers, dashes and underscores.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"18";"1";"en";"validation";"alpha_num";"The :attribute must only contain letters and numbers.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"19";"1";"en";"validation";"array";"The :attribute must be an array.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"20";"1";"en";"validation";"before";"The :attribute must be a date before :date.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"21";"1";"en";"validation";"before_or_equal";"The :attribute must be a date before or equal to :date.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"22";"1";"en";"validation";"between.array";"The :attribute must have between :min and :max items.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"23";"1";"en";"validation";"between.file";"The :attribute must be between :min and :max kilobytes.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"24";"1";"en";"validation";"between.numeric";"The :attribute must be between :min and :max.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"25";"1";"en";"validation";"between.string";"The :attribute must be between :min and :max characters.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"26";"1";"en";"validation";"boolean";"The :attribute field must be true or false.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"27";"1";"en";"validation";"confirmed";"The :attribute confirmation does not match.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"28";"1";"en";"validation";"current_password";"The password is incorrect.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"29";"1";"en";"validation";"date";"The :attribute is not a valid date.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"30";"1";"en";"validation";"date_equals";"The :attribute must be a date equal to :date.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"31";"1";"en";"validation";"date_format";"The :attribute does not match the format :format.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"32";"1";"en";"validation";"declined";"The :attribute must be declined.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"33";"1";"en";"validation";"declined_if";"The :attribute must be declined when :other is :value.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"34";"1";"en";"validation";"different";"The :attribute and :other must be different.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"35";"1";"en";"validation";"digits";"The :attribute must be :digits digits.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"36";"1";"en";"validation";"digits_between";"The :attribute must be between :min and :max digits.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"37";"1";"en";"validation";"dimensions";"The :attribute has invalid image dimensions.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"38";"1";"en";"validation";"distinct";"The :attribute field has a duplicate value.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"39";"1";"en";"validation";"doesnt_start_with";"The :attribute may not start with one of the following: :values.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"40";"1";"en";"validation";"email";"The :attribute must be a valid email address.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
"41";"1";"en";"validation";"ends_with";"The :attribute must end with one of the following: :values.";"2023-07-14 23:20:25";"2023-07-14 23:20:25"
